timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1763309454.761294,100.0,19383.7265625,29.6,0.0,0.0,0.0
1763309454.9641192,100.0,19385.13671875,29.6,0.0,0.0,0.0
1763309455.1326685,100.0,19385.0859375,29.6,0.0,0.0,0.0
1763309455.374877,100.0,19382.63671875,29.6,0.0,0.0,0.0
1763309455.746423,100.0,19497.578125,29.8,0.0,0.0,0.0
1763309456.2463057,100.0,19497.85546875,29.8,0.0,0.0,0.0
1763309456.3633823,100.0,19495.8359375,29.8,0.0,0.0,0.0
1763309456.5324502,100.0,19491.42578125,29.8,0.0,0.0,0.0
1763309456.70161,100.0,19498.9296875,29.8,0.0,0.0,0.0
1763309456.8833675,100.0,19540.78515625,29.8,0.0,0.0,0.0
1763309457.3326864,100.0,19543.07421875,29.8,0.0,0.0,0.0
1763309457.9293218,100.0,19543.3671875,29.8,0.0,0.0,0.0
1763309458.074186,100.0,19543.58203125,29.8,0.0,0.0,0.0
1763309458.2222364,100.0,19537.76171875,29.8,0.0,0.0,0.0
1763309458.3772414,100.0,19543.52734375,29.8,0.0,0.0,0.0
1763309458.5371356,100.0,19540.5625,29.8,0.0,0.0,0.0
1763309458.6957333,100.0,19539.296875,29.8,0.0,0.0,0.0
1763309458.8505197,100.0,19541.421875,29.8,0.0,0.0,0.0
1763309459.024161,100.0,19543.7265625,29.8,0.0,0.0,0.0
1763309459.155072,100.0,19548.94921875,29.8,0.0,0.0,0.0
1763309460.005441,100.0,19553.26953125,29.9,0.0,0.0,0.0
1763309460.4585385,100.0,19553.94140625,29.9,0.0,0.0,0.0
1763309460.5922728,100.0,19552.19140625,29.9,0.0,0.0,0.0
1763309460.720726,100.0,19555.41796875,29.9,0.0,0.0,0.0
1763309460.9922578,100.0,19552.75390625,29.9,0.0,0.0,0.0
1763309461.220017,100.0,19552.2109375,29.9,0.0,0.0,0.0
1763309461.3898847,100.0,19552.9140625,29.9,0.0,0.0,0.0
1763309461.605707,100.0,19550.19140625,29.8,0.0,0.0,0.0
1763309462.1020443,100.0,19554.16015625,29.9,0.0,0.0,0.0
1763309462.7298462,100.0,19549.8515625,29.8,0.0,0.0,0.0
1763309463.0015562,100.0,19545.890625,29.8,0.0,0.0,0.0
1763309463.1383584,100.0,19548.60546875,29.8,0.0,0.0,0.0
1763309463.3103302,100.0,19548.0390625,29.8,0.0,0.0,0.0
1763309463.4274366,100.0,19550.4453125,29.8,0.0,0.0,0.0
1763309463.6033142,100.0,19551.58984375,29.9,0.0,0.0,0.0
